id,title,price,category,brand,original_price,discount_percent,size_text,quantity_value,quantity_unit,in_stock,rating_rate,rating_count,description,image,tags
1001,AeroTune Lite Wireless Headphones,49.99,electronics,AeroTune,69.99,28.6,1 pair,1,pair,True,4.2,182,"budget bluetooth over-ear headphones with 32-hour battery and usb-c charging for commuting, study sessions, and casual music listening. over-ear audio product, 1 pair. no active noise cancelling. battery life 32 hours.",https://synthetic.example.com/products/1001.jpg,"electronics, audio, headphones, wireless, budget"
1002,AeroTune ANC 45 Wireless Headphones,89.99,electronics,AeroTune,129.99,30.8,1 pair,1,pair,True,4.5,264,"active noise cancelling bluetooth headphones with 45-hour battery, padded earcups, and balanced sound for office and travel. over-ear audio product, 1 pair. noise cancelling. battery life 45 hours.",https://synthetic.example.com/products/1002.jpg,"electronics, audio, headphones, wireless, anc"
1003,NorthPeak Studio Wireless Headphones,129.99,electronics,NorthPeak,169.99,23.5,1 pair,1,pair,True,4.6,138,"premium over-ear wireless headphones with noise cancellation, app eq, and 50-hour battery life. over-ear audio product, 1 pair. noise cancelling. battery life 50 hours.",https://synthetic.example.com/products/1003.jpg,"electronics, audio, headphones, wireless, anc"
1004,UrbanPulse Foldable Bluetooth Headphones,34.99,electronics,UrbanPulse,44.99,22.2,1 pair,1,pair,True,4.0,97,"foldable budget bluetooth headphones with lightweight design, clear vocals, and 28-hour battery. over-ear audio product, 1 pair. no active noise cancelling. battery life 28 hours.",https://synthetic.example.com/products/1004.jpg,"electronics, audio, headphones, wired, budget"
1005,QuietArc Travel ANC Headphones,149.99,electronics,QuietArc,199.99,25.0,1 pair,1,pair,True,4.7,412,"travel-ready wireless headphones with adaptive noise cancelling, 40-hour battery, and soft memory foam earcups. over-ear audio product, 1 pair. noise cancelling. battery life 40 hours.",https://synthetic.example.com/products/1005.jpg,"electronics, audio, headphones, wired, anc"
1006,QuietArc Everyday Wireless Headphones,69.99,electronics,QuietArc,89.99,22.2,1 pair,1,pair,True,4.3,221,"midrange wireless over-ear headphones with 36-hour battery, quick charge, and warm sound profile. over-ear audio product, 1 pair. no active noise cancelling. battery life 36 hours.",https://synthetic.example.com/products/1006.jpg,"electronics, audio, headphones, wireless, budget"
1007,BeatHarbor Bass Wireless Headphones,59.99,electronics,BeatHarbor,79.99,25.0,1 pair,1,pair,True,4.1,144,"bass-forward bluetooth headphones for workouts and casual streaming with 30-hour battery. over-ear audio product, 1 pair. no active noise cancelling. battery life 30 hours.",https://synthetic.example.com/products/1007.jpg,"electronics, audio, headphones, wireless, budget"
1008,BeatHarbor ANC Pro Headphones,119.99,electronics,BeatHarbor,159.99,25.0,1 pair,1,pair,True,4.4,203,"wireless noise cancelling headphones with custom eq presets and 38-hour battery. over-ear audio product, 1 pair. noise cancelling. battery life 38 hours.",https://synthetic.example.com/products/1008.jpg,"electronics, audio, headphones, wired, anc"
1009,ClearWave Kids Volume-Limit Headphones,24.99,electronics,ClearWave,29.99,16.7,1 pair,1,pair,True,4.4,156,"kids wireless headphones with safe 85db limit, soft cushions, and 20-hour battery. over-ear audio product, 1 pair. no active noise cancelling. battery life 20 hours.",https://synthetic.example.com/products/1009.jpg,"electronics, audio, headphones, wired, budget"
1010,ClearWave Wired Studio Headphones,39.99,electronics,ClearWave,49.99,20.0,1 pair,1,pair,True,4.3,88,"wired closed-back headphones for podcasts, calls, and desktop setup with 3.5mm cable. over-ear audio product, 1 pair. no active noise cancelling. battery life n/a hours.",https://synthetic.example.com/products/1010.jpg,"electronics, audio, headphones, wired, budget"
1011,Nimbus Open-Ear Wireless Headphones,79.99,electronics,Nimbus,99.99,20.0,1 pair,1,pair,True,4.1,74,"open-ear bluetooth headphones for runners with situational awareness and 25-hour battery. over-ear audio product, 1 pair. no active noise cancelling. battery life 25 hours.",https://synthetic.example.com/products/1011.jpg,"electronics, audio, headphones, wireless, budget"
1012,Nimbus Hybrid ANC Headphones,139.99,electronics,Nimbus,189.99,26.3,1 pair,1,pair,True,4.6,191,"hybrid anc wireless headphones with 42-hour battery, multipoint pairing, and comfortable clamp force. over-ear audio product, 1 pair. noise cancelling. battery life 42 hours.",https://synthetic.example.com/products/1012.jpg,"electronics, audio, headphones, wired, anc"
1013,AeroTune Mini Wireless Earbuds,29.99,electronics,AeroTune,39.99,25.0,1 pair,1,pair,True,4.1,301,compact true wireless earbuds with pocket case and 24-hour total battery. 1 pair earbuds. no active noise cancelling. total battery 24 hours.,https://synthetic.example.com/products/1013.jpg,"electronics, audio, earbuds, wireless"
1014,AeroTune Sport Earbuds,39.99,electronics,AeroTune,49.99,20.0,1 pair,1,pair,True,4.2,198,sweat-resistant sport earbuds with wing tips and deep bass for gym sessions. 1 pair earbuds. no active noise cancelling. total battery 30 hours.,https://synthetic.example.com/products/1014.jpg,"electronics, audio, earbuds, wireless"
1015,QuietArc ANC Earbuds,79.99,electronics,QuietArc,109.99,27.3,1 pair,1,pair,True,4.5,266,true wireless earbuds with active noise cancelling and transparency mode. 1 pair earbuds. noise cancelling included. total battery 32 hours.,https://synthetic.example.com/products/1015.jpg,"electronics, audio, earbuds, wireless"
1016,NorthPeak HiFi Earbuds,99.99,electronics,NorthPeak,129.99,23.1,1 pair,1,pair,True,4.6,152,"high fidelity earbuds with ldac support, anc, and secure fit. 1 pair earbuds. noise cancelling included. total battery 36 hours.",https://synthetic.example.com/products/1016.jpg,"electronics, audio, earbuds, wireless"
1017,ClearWave Wired Earbuds,14.99,electronics,ClearWave,19.99,25.0,1 pair,1,pair,True,3.9,89,"wired earbuds with inline mic for calls, commuting, and budget use. 1 pair earbuds. no active noise cancelling. total battery n/a hours.",https://synthetic.example.com/products/1017.jpg,"electronics, audio, earbuds, wired"
1018,Nimbus OpenFit Earbuds,59.99,electronics,Nimbus,79.99,25.0,1 pair,1,pair,True,4.3,113,"open-fit earbuds with lightweight comfort, long battery, and clear voice calls. 1 pair earbuds. no active noise cancelling. total battery 28 hours.",https://synthetic.example.com/products/1018.jpg,"electronics, audio, earbuds, wireless"
1019,TypeFlow Starter Keyboard,24.99,electronics,TypeFlow,29.99,16.7,1 keyboard,1,keyboard,True,4.0,247,"full-size keyboard for beginners with quiet keys and number pad. wired keyboard. switch type membrane. 1 keyboard, beginner-friendly typing experience.",https://synthetic.example.com/products/1019.jpg,"electronics, keyboard, beginner, membrane, wired"
1020,TypeFlow Compact Keyboard,29.99,electronics,TypeFlow,39.99,25.0,1 keyboard,1,keyboard,True,4.2,191,"compact 87-key keyboard for students and first desk setups. wired keyboard. switch type membrane. 1 keyboard, beginner-friendly typing experience.",https://synthetic.example.com/products/1020.jpg,"electronics, keyboard, typing, membrane, wired"
